Galaxy,X-ray Luminosity (ergs/s),X-ray Luminosity Uncertainty (ergs/s),Radio Flux (Jy),Radio Flux Uncertainty (Jy),1mm flux density (Jy),RMS,1mm frequency (GHz),Bolometric Luminosity (erg/s),Bolometric Luminosity Uncertainty (erg/s),Accretion rate (M_solar/yr),Accretion Rate Error,LSB Flux Density,LSB Frequency (GHz),LSB RMS,USB Flux Density,USB Frequency (GHz),USB RMS
NGC3607,4.92E+038,2.73E+038,0.0069,0.0008,0.00269,0.000133,238.8,3.55E+039,1.97E+039,5.33E-07,2.96E-07,0.0027,231.7,0.000127,0.0026,246.8,0.000109
NGC3862,3.92E+041,3.92E+040,5.7,0.57,0.0635,0.00106,234.4,3.63E+042,3.63E+041,0.000545,5.45E-05,0.0481,226.7,7.85E-05,0.0446,242.2,7.94E-05
NGC4061,NaN,NaN,0.386,0.0386,0.00241,0.000131,233.8,NaN,NaN,NaN,NaN,0.00079,226,1.91E-05,0.00067,242,1.75E-05
NGC4261,7.96E+040,1.59E+040,22,2.42,0.217,0.00155,236.7,6.08E+041,1.21E+041,9.12E-05,1.82E-05,0.22,228.8,0.000489,0.21,244.7,0.000484
NGC4429,1.31E+039,1.31E+038,0.0001,0.0005,0.00111,5.89E-05,339.4,8.96E+039,8.96E+038,1.34E-06,1.34E-07,0.0011,333.5,4.16E-05,0.00109,345,5.44E-05
NGC4435,2.78E+038,2.78E+037,0.006,0.006,0.000731,2.6E-05,237.9,2.08E+039,2.08E+038,3.12E-07,3.12E-08,0.00061,229.9,1.9E-05,0.00066,245.8,1.55E-05
NGC4438,5.19E+038,5.19E+037,0.0633,0.00633,0.000524,9.64E-05,239.5,3.73E+039,3.73E+038,5.6E-07,5.6E-08,0.00055,232.4,0.000119,0.00048,247.5,0.000112
NGC4501,4.65E+039,4.65E+038,0.277,0.0277,0.00144,7.89E-05,237.5,3.12E+040,3.12E+039,4.68E-06,4.68E-07,0.0012,230.7,0.000143,0.0013,245.1,0.000143
NGC4697,3.02E+038,1.25E+038,0.0006,0.0005,0.000481,4.75E-05,238.6,2.26E+039,9.33E+038,3.39E-07,1.4E-07,0.000416,231.5,6.03E-05,0.000364,246.5,5.27E-05
NGC4826,9.23E+037,2.05E+037,0.103,0.01,0.000375,7.38E-05,340.2,7.73E+038,1.72E+038,1.16E-07,2.56E-08,NaN,NaN,NaN,NaN,NaN,NaN
NGC5064,NaN,NaN,0.1,0.01,0.000279,2.59E-05,238.1,NaN,NaN,NaN,NaN,0.00027,230.1,3.97E-05,0.00029,244.8,3.47E-05
NGC5765b,NaN,NaN,0.0232,0.00232,0.000328,6.79E-05,225.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC5806,NaN,NaN,0.0153,0.00153,0.000143,4.78E-05,238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC5995,3.74E+043,3.74E+042,0.0307,0.0033,0.000994,3.27E-05,234.2,9.35E+044,9.35E+043,0.14,0.014,0.0010524,225.7,3.59E-05,0.000953,240.8,3.78E-05
NGC6753,NaN,NaN,0.11,0.012,0.000136,4.53E-05,237.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NGC6958,NaN,NaN,0.015,0.0018,0.011,6.68E-05,237,NaN,NaN,NaN,NaN,0.0111,229,7.3E-05,0.0114,244.8,7.9E-05
NGC7052,NaN,NaN,0.208,0.021,0.0178,8.21E-05,238,NaN,NaN,NaN,NaN,0.02633,228,0.000216,0.02613,244,0.000208
NGC7172,2.91E+042,2.91E+041,0.0376,0.004,0.00842,0.000347,237,3.84E+043,3.84E+042,0.00576,0.000576,0.00315,230,9.53E-05,0.00299,245,8.71E-05
PGC043387,NaN,NaN,NaN,NaN,0.000309,0.000103,234.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
